                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.68482,                0.48204,                0.93547,                0.93681,                0.79703,                 0.8744,                0.65521,                0.82459,                0.69152,                0.94659,              0.0004952,              0.0004952,              0.0004952
                    154,                0.70017,                0.50064,                0.95386,                0.90883,                0.80393,                0.87448,                0.65242,                0.83287,                0.69732,                0.95733,              0.0004853,              0.0004853,              0.0004853
                    155,                0.69548,                0.51205,                0.92853,                0.93729,                0.80357,                  0.884,                0.66283,                0.83855,                0.70684,                0.96815,              0.0004754,              0.0004754,              0.0004754
                    156,                0.71286,                0.49315,                0.94351,                0.93584,                0.80108,                0.87937,                0.67189,                0.82974,                0.70396,                0.96587,              0.0004655,              0.0004655,              0.0004655
                    157,                0.67547,                0.47588,                0.92511,                0.92184,                 0.8172,                0.87707,                  0.663,                0.83895,                0.68565,                 0.9608,              0.0004556,              0.0004556,              0.0004556
                    158,                0.70236,                0.48265,                0.94729,                0.93283,                0.82128,                0.88201,                0.66392,                0.84094,                0.68577,                0.96283,              0.0004457,              0.0004457,              0.0004457
                    159,                0.67411,                0.48634,                0.95389,                0.93846,                0.81992,                0.88131,                 0.6676,                0.84689,                  0.679,                 0.9674,              0.0004358,              0.0004358,              0.0004358
                    160,                0.70256,                0.47646,                0.92558,                0.91642,                0.82526,                0.88012,                0.66667,                0.84182,                0.69871,                0.96601,              0.0004259,              0.0004259,              0.0004259
                    161,                 0.6842,                0.48061,                0.91945,                0.91693,                0.83087,                0.87736,                  0.663,                0.83873,                0.74188,                0.97129,               0.000416,               0.000416,               0.000416
                    162,                0.70373,                0.50059,                0.94665,                 0.9297,                0.83871,                0.88256,                0.66771,                0.82708,                0.70388,                0.96325,              0.0004061,              0.0004061,              0.0004061
                    163,                0.69933,                0.47266,                0.93832,                0.92728,                0.84946,                0.88547,                0.66977,                0.82493,                0.67409,                0.96744,              0.0003962,              0.0003962,              0.0003962
                    164,                0.66949,                0.48306,                0.92896,                0.91383,                0.85519,                0.89052,                0.67371,                0.82191,                 0.6554,                0.95887,              0.0003863,              0.0003863,              0.0003863
                    165,                0.65503,                0.47281,                0.92799,                0.89973,                0.83871,                0.88844,                0.66891,                0.82958,                0.65114,                0.95482,              0.0003764,              0.0003764,              0.0003764
                    166,                0.64405,                0.46907,                0.92532,                 0.9203,                 0.8071,                0.87925,                0.67625,                0.79832,                0.67053,                0.94926,              0.0003665,              0.0003665,              0.0003665
                    167,                0.68329,                0.47844,                 0.9277,                0.91513,                 0.8116,                0.87367,                0.66654,                0.80482,                0.68366,                 0.9573,              0.0003566,              0.0003566,              0.0003566
                    168,                0.69074,                0.46254,                0.93359,                0.90595,                 0.8172,                0.87486,                 0.6571,                0.81782,                0.69267,                0.95983,              0.0003467,              0.0003467,              0.0003467
                    169,                0.67582,                0.47699,                0.94793,                 0.9089,                0.82796,                 0.8802,                0.67061,                0.80534,                 0.6766,                0.95436,              0.0003368,              0.0003368,              0.0003368
                    170,                0.67824,                0.47914,                0.93349,                0.90034,                0.84409,                0.88583,                0.66997,                0.80338,                 0.6715,                 0.9576,              0.0003269,              0.0003269,              0.0003269
                    171,                0.66454,                0.47311,                0.92523,                0.91603,                0.82115,                0.88672,                0.66198,                0.81335,                0.69139,                0.95413,               0.000317,               0.000317,               0.000317
                    172,                0.65872,                0.47169,                0.92018,                0.91626,                0.80645,                0.87647,                0.65668,                0.82705,                0.70709,                0.95519,              0.0003071,              0.0003071,              0.0003071
                    173,                0.64893,                0.45475,                0.92467,                0.92381,                0.82258,                0.88314,                0.67276,                0.82905,                0.68386,                0.96405,              0.0002972,              0.0002972,              0.0002972
                    174,                0.66614,                 0.4459,                0.91519,                0.93281,                0.82258,                0.87523,                0.66857,                0.83161,                0.68267,                0.96646,              0.0002873,              0.0002873,              0.0002873
                    175,                0.64905,                0.45872,                0.91797,                0.93826,                0.81698,                0.87942,                0.66561,                0.82515,                0.67732,                0.96882,              0.0002774,              0.0002774,              0.0002774
                    176,                0.66159,                0.45744,                 0.9113,                0.92151,                0.83333,                0.88057,                0.66795,                0.83139,                 0.6799,                0.97184,              0.0002675,              0.0002675,              0.0002675
                    177,                0.63894,                0.45721,                0.91631,                 0.9345,                0.83871,                0.88502,                0.67041,                0.83309,                0.67212,                0.96906,              0.0002576,              0.0002576,              0.0002576
                    178,                0.64099,                0.45823,                0.92023,                0.92415,                0.85161,                0.88655,                0.67529,                0.82765,                0.65557,                 0.9712,              0.0002477,              0.0002477,              0.0002477
                    179,                0.62744,                0.42568,                 0.9254,                0.92387,                 0.8482,                0.88267,                0.67147,                0.83844,                0.67484,                0.97358,              0.0002378,              0.0002378,              0.0002378
                    180,                0.63356,                0.45049,                 0.9291,                0.91117,                0.84946,                0.88325,                0.67751,                0.84525,                0.66658,                0.97144,              0.0002279,              0.0002279,              0.0002279
                    181,                0.63033,                0.48336,                0.91865,                0.93043,                0.84409,                0.89204,                0.67837,                0.84232,                0.64313,                0.96729,               0.000218,               0.000218,               0.000218
                    182,                0.67398,                0.44999,                0.91911,                0.93372,                0.83312,                0.88458,                0.67219,                0.84033,                0.67068,                0.96853,              0.0002081,              0.0002081,              0.0002081
                    183,                0.64236,                0.47209,                0.93365,                0.92245,                0.83143,                 0.8847,                0.66855,                0.84018,                0.67006,                0.96952,              0.0001982,              0.0001982,              0.0001982
                    184,                0.66088,                0.45864,                0.93623,                0.93048,                0.82796,                0.88725,                0.66909,                0.84378,                0.65227,                0.96877,              0.0001883,              0.0001883,              0.0001883
                    185,                0.61691,                0.44873,                0.91396,                0.91226,                0.83333,                0.88556,                 0.6754,                 0.8442,                0.64663,                0.97406,              0.0001784,              0.0001784,              0.0001784
                    186,                0.62297,                0.43383,                0.90704,                 0.9332,                0.84946,                 0.8893,                0.67792,                 0.8287,                0.64362,                 0.9669,              0.0001685,              0.0001685,              0.0001685
                    187,                 0.6256,                0.43535,                0.91264,                 0.9402,                0.84529,                0.89022,                 0.6858,                0.82617,                0.64135,                   0.97,              0.0001586,              0.0001586,              0.0001586
                    188,                0.66038,                0.43898,                0.90839,                 0.9228,                0.83551,                0.88457,                0.67587,                0.83492,                0.64211,                0.96792,              0.0001487,              0.0001487,              0.0001487
                    189,                0.61835,                0.44189,                0.93549,                0.92135,                0.81879,                 0.8752,                0.66946,                0.85262,                0.66114,                0.96913,              0.0001388,              0.0001388,              0.0001388
                    190,                0.63419,                0.51855,                0.91067,                0.92206,                0.82688,                0.88119,                0.67556,                0.83534,                0.64555,                0.96555,              0.0001289,              0.0001289,              0.0001289
